model,mhs,power,price,epp,roi
RX 6800 XT,63.2,104,1000,,
RX 6800,61.01,108,900,,
RTX 3070,62.34,115,830,,
RTX 3060 Ti,62.42,125,800,,
RX 6700 XT,46.95,98,740,,
RX 6600 XT,31.88,68,550,,
VII,108.5,236,1400,,
RX 5700 XT,56.44,125,750,,
RTX 3080,101.58,224,1400,,
RX 6900 XT,56.44,125,1200,,
