region,country,,fertility,rank_wik,rank_prg,pop,GDP_PPP,SSA,"Australia, New Zealand & Polynesia",South Asia,Africa,South East Asia,Middle East,NIS & Russia,Mediterranean Europe,Latin America,East Asia,Eastern & Central Europe,North America,North Asia,Continental Europe,Scandinavia
Eastern & Central Europe,Croatia,,1.48,173,171.5,3888529,31102.33333,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Latin America,Cuba,,1.59,155,155,11181595,12300,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Latin America,Curaçao,Netherlands,1.6,154,153,153671,22961.5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Eastern & Central Europe,Cyprus,,1.31,188,188,888005,42148.66667,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Eastern & Central Europe,Czech Republic,,1.71,140,140.5,10516708,43375.33333,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Scandinavia,Denmark,,1.67,145,145,5883562,61857.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSA,Djibouti,,2.63,74,74,976107,5994.666667,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America,Dominican Republic,,2.3,88,87.5,10535535,19640,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
SSA,DR Congo,,5.72,3,3,92378000,1181.666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East Asia,East Timor,,3.85,40,40,1317780,3416,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Latin America,Ecuador,,2.38,82,81.5,18004284,11645,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
Africa,Egypt,,3.24,55,55,103436476,13099.66667,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Latin America,El Salvador,,2,113,113,6825935,9060,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
SSA,Equatorial Guinea,,4.35,23,23,1505588,18512,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Eritrea,,3.93,37,37.5,3601000,1775.666667,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern & Central Europe,Estonia,,1.58,156,157,1330068,40033.33333,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
SSA,Eswatini,,2.92,61,61,1172000,9295.666667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Ethiopia,,4.05,34,34.5,117876000,2683.666667,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Continental Europe,Faroe Islands,Denmark,2.3,87,87.5,53941,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Australia, New Zealand & Polynesia",Fiji,,2.73,70,69.5,898402,12961,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Scandinavia,Finland,,1.37,184,184,5550066,52133.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Continental Europe,France,,1.83,128,128.5,67853000,49482.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Australia, New Zealand & Polynesia",French Polynesia,France,1.91,123,123,279890,17000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Gabon,,3.87,39,39,2233272,15996.33333,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Gambia,,5.09,9,9,2487000,2382.333333,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIS & Russia,Georgia,,2.05,107,107.5,3728573,16149.66667,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Continental Europe,Germany,,1.53,166,166,83222442,55955,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
SSA,Ghana,,3.77,42,42,30832019,5921,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediterranean Europe,Greece,,1.34,187,186.5,10678632,31286.33333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
